"id" "name" "terminalName" "lat" "long" "installed" "locked" "installDate" "removalDate" "temporary" "nbBikes" "nbEmptyDocks" "nbDocks"
"82" "Chancery Lane, Holborn" "003453" "51.514274" "-0.111257" "true" "false" "1279015680000" "" "false" "14" "0" "15"
"83" "Panton Street, West End" "003452" "51.50963938" "-0.131510949" "true" "false" "1279015800000" "" "false" "17" "2" "21"
"84" "Breams Buildings, Holborn" "003449" "51.51593725" "-0.111778348" "true" "false" "1279020240000" "" "false" "22" "1" "25"
"85" "Tanner Street, Bermondsey" "000994" "51.50064702" "-0.078600401" "true" "false" "1279026060000" "" "false" "23" "16" "39"
"86" "Sancroft Street, Vauxhall" "003434" "51.48947903" "-0.115156562" "true" "false" "1279027140000" "" "false" "5" "19" "24"
"87" "Devonshire Square, Liverpool Street" "003438" "51.51646835" "-0.079684557" "true" "false" "1279027680000" "" "false" "16" "0" "16"
"88" "Bayley Street , Bloomsbury" "001006" "51.51858757" "-0.132053392" "true" "false" "1279028280000" "" "false" "21" "2" "25"
"89" "Tavistock Place, Bloomsbury" "003439" "51.5262503" "-0.123509611" "true" "false" "1279029360000" "" "false" "0" "18" "19"
"90" "Harrington Square 1, Camden Town" "001038" "51.53301907" "-0.139174593" "true" "false" "1279030020000" "" "false" "4" "23" "27"
"91" "Walnut Tree Walk, Vauxhall" "001076" "51.49368637" "-0.111014912" "true" "false" "1279036740000" "" "false" "9" "11" "20"
"92" "Borough Road, Elephant & Castle" "001082" "51.49889832" "-0.100440521" "true" "false" "1279037040000" "" "false" "37" "4" "41"
"93" "Cloudesley Road, Angel" "002586" "51.53440868" "-0.109025404" "true" "false" "1279037760000" "" "false" "0" "37" "37"
"94" "Bricklayers Arms, Borough" "001070" "51.49506109" "-0.085814489" "true" "false" "1279038420000" "" "false" "0" "28" "28"
"95" "Aldersgate Street, Barbican" "001065" "51.5208417" "-0.097340162" "true" "false" "1279096560000" "" "false" "15" "0" "15"
"96" "Falkirk Street, Hoxton" "001047" "51.53095071" "-0.078505384" "true" "false" "1279096980000" "" "false" "6" "20" "26"
"97" "Gloucester Road (North), Kensington" "003447" "51.49792478" "-0.183834706" "true" "false" "1279097580000" "" "false" "6" "11" "18"
"98" "Hampstead Road, Euston" "000972" "51.52554222" "-0.138231303" "true" "false" "1279099080000" "" "false" "30" "24" "54"
"99" "Old Quebec Street, Marylebone" "001085" "51.51457763" "-0.158264483" "true" "false" "1279099680000" "" "false" "4" "12" "16"
"100" "Albert Embankment, Vauxhall" "001059" "51.49043573" "-0.122806861" "true" "false" "1279099860000" "" "false" "19" "4" "24"
"101" "Queen Street 1, Bank" "000999" "51.51155322" "-0.0929401" "true" "false" "1279102680000" "" "false" "19" "2" "22"
"102" "Jewry Street, Aldgate" "001045" "51.51340693" "-0.076793375" "true" "false" "1279102860000" "" "false" "15" "0" "17"
"103" "Vicarage Gate, Kensington" "003441" "51.50472376" "-0.192538767" "true" "false" "1279103520000" "" "false" "1" "17" "18"
"104" "Crosswall, Tower" "000991" "51.51159481" "-0.077121322" "true" "false" "1279103760000" "" "false" "33" "1" "34"
"105" "Westbourne Grove, Bayswater" "001041" "51.51552971" "-0.190240716" "true" "false" "1279105320000" "" "false" "4" "22" "26"
"106" "Woodstock Street, Mayfair" "001042" "51.51410514" "-0.147301667" "true" "false" "1279106880000" "" "false" "13" "8" "21"
"107" "Finsbury Leisure Centre, St. Luke's" "001049" "51.52600832" "-0.096317627" "true" "false" "1279107480000" "" "false" "9" "9" "20"
"108" "Abbey Orchard Street, Westminster" "003429" "51.49812559" "-0.132102166" "true" "false" "1279107720000" "" "false" "25" "1" "29"
"109" "Soho Square , Soho" "001052" "51.51563144" "-0.132328837" "true" "false" "1279108320000" "" "false" "52" "4" "57"
"110" "Wellington Road, St. John's Wood" "001055" "51.53304322" "-0.172528678" "true" "false" "1279108920000" "" "false" "0" "17" "17"
